ID, Version, Start Time, End Time
012001160010, 001, 52922.1211843599, 52922.1280477894
012001170010, 001, 52922.1293903827, 52922.1396450178
012001180010, 001, 52922.140686685, 52922.1492399302
012301060010, 001, 52930.8118718199, 52930.8187236753
012301070010, 001, 52930.8200546946, 52930.8303093296
012301080010, 001, 52930.8313509969, 52930.8399158162
012001160010, 001, 52922.1211843599, 52922.1280477894
012001170010, 001, 52922.1293903827, 52922.1396450178
012001180010, 001, 52922.140686685, 52922.1492399302
012301060010, 001, 52930.8118718199, 52930.8187236753
012301070010, 001, 52930.8200546946, 52930.8303093296
012301080010, 001, 52930.8313509969, 52930.8399158162
008200180010, 001, 52806.2440862508, 52806.250926532
008200190010, 001, 52806.2522691252, 52806.2614126483
008200200010, 001, 52806.2624543155, 52806.2710191345
012001160010, 001, 52922.1211843599, 52922.1280477894
012001170010, 001, 52922.1293903827, 52922.1396450178
012001180010, 001, 52922.140686685, 52922.1492399302
012001190010, 001, 52922.153256136, 52922.160767714
012001200010, 001, 52922.1617978072, 52922.1874922652
012100000020, 001, 52922.3247261336, 52922.3461034597
012301060010, 001, 52930.8118718199, 52930.8187236753
012301070010, 001, 52930.8200546946, 52930.8303093296
012301080010, 001, 52930.8313509969, 52930.8399158162
008200180010, 001, 52806.2440862508, 52806.250926532
008200190010, 001, 52806.2522691252, 52806.2614126483
008200200010, 001, 52806.2624543155, 52806.2710191345
012001190010, 001, 52922.153256136, 52922.160767714
012001200010, 001, 52922.1617978072, 52922.1874922652
012100000020, 001, 52922.3247261336, 52922.3461034597
012301060010, 001, 52930.8118718199, 52930.8187236753
012301070010, 001, 52930.8200546946, 52930.8303093296
012301080010, 001, 52930.8313509969, 52930.8399158162
008200180010, 001, 52806.2440862508, 52806.250926532
008200190010, 001, 52806.2522691252, 52806.2614126483
008200200010, 001, 52806.2624543155, 52806.2710191345
012001190010, 001, 52922.153256136, 52922.160767714
012001200010, 001, 52922.1617978072, 52922.1874922652
012100000020, 001, 52922.3247261336, 52922.3461034597
012101190010, 001, 52925.1449243798, 52925.1524591061
012101200010, 001, 52925.1534891992, 52925.1770540264
012200000020, 001, 52925.3183619712, 52925.339982353
012301070010, 001, 52930.8200546946, 52930.8303093296
012301080010, 001, 52930.8313509969, 52930.8399158162
008200180010, 001, 52806.2440862508, 52806.250926532
008200190010, 001, 52806.2522691252, 52806.2614126483
008200200010, 001, 52806.2624543155, 52806.2710191345
012001190010, 001, 52922.153256136, 52922.160767714
012001200010, 001, 52922.1617978072, 52922.1874922652
012100000020, 001, 52922.3247261336, 52922.3461034597
012101190010, 001, 52925.1449243798, 52925.1524591061
012101200010, 001, 52925.1534891992, 52925.1770540264
012200000020, 001, 52925.3183619712, 52925.339982353
008200180010, 001, 52806.2440862508, 52806.250926532
008200190010, 001, 52806.2522691252, 52806.2614126483
008200200010, 001, 52806.2624543155, 52806.2710191345
012001190010, 001, 52922.153256136, 52922.160767714
012001200010, 001, 52922.1617978072, 52922.1874922652
012100000020, 001, 52922.3247261336, 52922.3461034597
012101190010, 001, 52925.1449243798, 52925.1524591061
012101200010, 001, 52925.1534891992, 52925.1770540264
012200000020, 001, 52925.3183619712, 52925.339982353
008200180010, 001, 52806.2440862508, 52806.250926532
008200190010, 001, 52806.2522691252, 52806.2614126483
008200200010, 001, 52806.2624543155, 52806.2710191345
012001190010, 001, 52922.153256136, 52922.160767714
012001200010, 001, 52922.1617978072, 52922.1874922652
012100000020, 001, 52922.3247261336, 52922.3461034597
012101190010, 001, 52925.1449243798, 52925.1524591061
012101200010, 001, 52925.1534891992, 52925.1770540264
012200000020, 001, 52925.3183619712, 52925.339982353
