ID, Version, Start Time, End Time, Jupiter RA, Jupiter DEC
026601100010, 001, 53358.8256557167, 53358.8325191468, 161.08537, 9.20066
026601110010, 001, 53358.8338501662, 53358.8443131356, 163.32516, 8.3241
026700000210, 001, 53359.4028435524, 53359.4254130089, 165.54969, 7.43715
026700000230, 001, 53359.426443102, 53359.4493713549, 167.76038, 6.54112
043200640010, 001, 53854.2155346549, 53854.2223865119, 169.95867, 5.63731
043200650010, 001, 53854.2237175314, 53854.2339721686, 172.14602, 4.72699
091700010010, 001, 55303.3199019194, 55303.3267306292, 174.32388, 3.8114
091700020010, 001, 55303.3281426675, 55303.3383278618, 176.49377, 2.89175
106300180010, 001, 55740.4450115495, 55740.4518749802, 178.65715, 1.96925
106300190010, 001, 55740.4532059996, 55740.4623610986, 180.81551, 1.04506
112600220010, 001, 55929.1421365069, 55929.1513726242, 182.97036, 0.12036
112600230010, 001, 55929.1527152177, 55929.1635948546, 185.12317, -0.8037
124200010010, 001, 56275.4612080873, 56275.4704789284, 187.27541, -1.72597
124200020010, 001, 56275.4718215222, 56275.4821456049, 189.42861, -2.64533
169500010010, 001, 57565.7430534277, 57565.749916858, 191.5842, -3.56061
169500020010, 001, 57565.7512941736, 57565.7597432531, 193.74366, -4.47068
230200070010, 001, 59179.9573055435, 59179.9641689735, 195.90844, -5.37439
230200080010, 001, 59179.9654999928, 59180.0039259415, 198.07995, -6.2706
230200090010, 001, 59180.0052685349, 59180.0436944836, 200.25958, -7.15812
230200160010, 001, 59180.2847594419, 59180.3231969647, 202.44876, -8.03578
230200170010, 001, 59180.3247131693, 59180.3912178382, 204.64884, -8.90239
230200180010, 001, 59180.3927456168, 59180.4311715653, 206.86113, -9.75674
230200470010, 001, 59181.6467972834, 59181.6852232326, 209.08696, -10.59758
230200480010, 001, 59181.6865542519, 59181.7249917751, 211.32756, -11.42368
230200490010, 001, 59181.7263227944, 59181.7647603176, 213.58414, -12.23373
230200550010, 001, 59181.965871549, 59182.0042974977, 215.85785, -13.02645
230200560010, 001, 59182.0058137023, 59182.0442512251, 218.14982, -13.8005
230200570010, 001, 59182.0455822444, 59182.0864503241, 220.46104, -14.55452
230200570020, 001, 59182.0864503241, 59182.1122026541, 222.79253, -15.28715
236600410010, 001, 59351.5442960944, 59351.5781734303, 225.14515, -15.99698
236600420010, 001, 59351.5796896349, 59351.6135669708, 227.51967, -16.68258
236600440010, 001, 59351.6501642158, 59351.6840068295, 229.91681, -17.34251
236600450010, 001, 59351.6855346082, 59351.7194119441, 232.33715, -17.97529
236600460010, 001, 59351.7209397228, 59351.7556619666, 234.78113, -18.57946
236600470010, 001, 59351.7556619666, 59351.7661365101, 237.24916, -19.15352
236600480010, 001, 59351.7914143035, 59351.8252569171, 239.74142, -19.696
236600490010, 001, 59351.8265995105, 59351.8606620315, 242.25797, -20.20538
236600500010, 001, 59351.8622013843, 59351.896067146, 244.79873, -20.6802
236600510010, 001, 59351.8973981653, 59351.9312870751, 247.3635, -21.11898
236600520010, 001, 59351.9328148538, 59351.9666921895, 249.95182, -21.52029
236600530010, 001, 59351.9682199683, 59352.002097304, 252.56318, -21.88272
236600540010, 001, 59352.0036135086, 59352.0374792702, 255.19686, -22.20491
236600550010, 001, 59352.0388218636, 59352.0727107734, 257.85196, -22.48554
236600560010, 001, 59352.0740533668, 59352.1079307025, 260.52742, -22.72337
236600570010, 001, 59352.1092732959, 59352.1431506317, 263.22206, -22.91723
236600580010, 001, 59352.1447015586, 59352.1785557462, 265.93449, -23.06604
236600590010, 001, 59352.1798983396, 59352.2137756755, 268.66326, -23.16879
236600600010, 001, 59352.2151066948, 59352.2489956049, 271.40677, -23.22462
236600610010, 001, 59352.2505349577, 59352.2844007197, 274.16329, -23.23276
236600620010, 001, 59352.285731739, 59352.3355928816, 276.93105, -23.19256
236700010010, 001, 59352.8295862436, 59352.8364380996, 279.70819, -23.10352
236700020010, 001, 59352.8378154153, 59352.8723871955, 282.49279, -22.96528
236700030010, 001, 59352.8743200671, 59352.9082784209, 285.28293, -22.7776
236700040010, 001, 59352.9098293478, 59352.9436835348, 288.07674, -22.54042
236700050010, 001, 59352.9452228876, 59352.9790886487, 290.87231, -22.25382
236700060010, 001, 59352.980419668, 59353.0143085774, 293.66782, -21.91804
236700070010, 001, 59353.0156395967, 59353.0495285061, 296.46156, -21.53347
236700080010, 001, 59353.0508595254, 59353.0847484349, 299.25182, -21.10066
236700090010, 001, 59353.0860794542, 59353.1199567896, 302.03708, -20.62031
236700100010, 001, 59353.121299383, 59353.1551767185, 304.81597, -20.09327
236700110010, 001, 59353.1565193119, 59353.1904082215, 307.58722, -19.52051
236700120010, 001, 59353.1919475743, 59353.2258133357, 310.34974, -18.90318
236700130010, 001, 59353.2273526885, 59353.2612184499, 313.10263, -18.24253
236700140010, 001, 59353.2627578027, 59353.296623564, 315.84512, -17.53994
