ID, Version, Start Time, End Time, Jupiter RA, Jupiter DEC
007700590010, 001, 52793.0829914368, 52793.1187784953, 263.83303, -22.95481
007700600010, 001, 52793.1201905332, 52793.1560007399, 263.83303, -22.95481
007700610010, 001, 52793.1574012037, 52793.1931998363, 263.83303, -22.95481
007700620010, 001, 52793.1946118742, 52793.2304105066, 263.83303, -22.95481
007700630010, 001, 52793.2318109704, 52793.2783966464, 274.78737, -23.22793
007700640010, 001, 52793.2783966464, 52793.2934660998, 274.78737, -23.22793
007700650010, 001, 52793.294496193, 52793.3519499312, 274.78737, -23.22793
007700660010, 001, 52793.353350395, 52793.3891721757, 274.78737, -23.22793
007700670010, 001, 52793.3905842136, 52793.4315101642, 274.78737, -23.22793
007700670020, 001, 52793.4315101642, 52793.5356190231, 274.78737, -23.22793
007700670030, 001, 52793.5356190231, 52793.5416375452, 274.78737, -23.22793
007700680010, 001, 52793.5426676384, 52793.5658852449, 274.78737, -23.22793
007800000020, 001, 52793.7317302515, 52793.750943226, 277.55738, -23.17674
007800010010, 001, 52793.8345080914, 52793.8480266182, 277.55738, -23.17674
007800020010, 001, 52793.8490682855, 52793.915769715, 277.55738, -23.17674
007800030010, 001, 52793.9171817529, 52793.9529688116, 277.55738, -23.17674
007800040010, 001, 52793.9543692754, 52793.9901679081, 277.55738, -23.17674
007800050010, 001, 52793.9915567978, 52794.0273670045, 277.55738, -23.17674
007800060010, 001, 52794.0287558942, 52794.0645661008, 277.55738, -23.17674
007800070010, 001, 52794.0658971201, 52794.1017073267, 277.55738, -23.17674
007800080010, 001, 52794.1030614942, 52794.1388601267, 277.55738, -23.17674
007800090010, 001, 52794.1402374423, 52794.176059223, 277.55738, -23.17674
007800100010, 001, 52794.1774481127, 52794.2132351712, 277.55738, -23.17674
007800110010, 001, 52794.2145777646, 52794.2503763971, 277.55738, -23.17674
007800120010, 001, 52794.2517652869, 52794.2875870676, 277.55738, -23.17674
007800130010, 001, 52794.2889759573, 52794.3247630158, 277.55738, -23.17674
007800140010, 001, 52794.3261519055, 52794.3619505379, 277.55738, -23.17674
007800150010, 001, 52794.3633394277, 52794.3991496341, 277.55738, -23.17674
007800160010, 001, 52794.4005269497, 52794.4363140079, 277.55738, -23.17674
007800170010, 001, 52794.4376566013, 52794.4734552334, 277.55738, -23.17674
007800180010, 001, 52794.474820975, 52794.5106311813, 277.55738, -23.17674
007800190010, 001, 52794.5119853487, 52794.547795555, 277.55738, -23.17674
007800200010, 001, 52794.5491612966, 52794.584983077, 277.55738, -23.17674
007800210010, 001, 52794.5863603926, 52794.6221590249, 277.55738, -23.17674
007800220010, 001, 52794.6234900442, 52794.6593002505, 277.55738, -23.17674
007800230010, 001, 52794.6606312698, 52794.6964299019, 277.55738, -23.17674
007800240010, 001, 52794.6978072175, 52794.7336058496, 277.55738, -23.17674
007800250010, 001, 52794.7349715912, 52794.7707817972, 277.55738, -23.17674
007800260010, 001, 52794.7721475388, 52794.8079461707, 277.55738, -23.17674
007800270010, 001, 52794.8093119122, 52794.8451221182, 277.55738, -23.17674
007800280010, 001, 52794.8464647116, 52794.8822633435, 277.55738, -23.17674
007800290010, 001, 52794.8836406591, 52794.9194508651, 277.55738, -23.17674
007800300010, 001, 52794.9208281808, 52794.9566383868, 277.55738, -23.17674
007800310010, 001, 52794.9580272765, 52794.9938374826, 277.55738, -23.17674
007800320010, 001, 52794.9952263723, 52795.0310365784, 277.55738, -23.17674
007800330010, 001, 52795.0324254681, 52795.068235674, 277.55738, -23.17674
007800340010, 001, 52795.0695666933, 52795.1053768993, 277.55738, -23.17674
007800350010, 001, 52795.106765789, 52795.1425528467, 277.55738, -23.17674
007800360010, 001, 52795.1439301623, 52795.1797403682, 277.55738, -23.17674
007800370010, 001, 52795.1810945357, 52795.2351686411, 277.55738, -23.17674
007800380010, 001, 52795.2365112345, 52795.2723098664, 277.55738, -23.17674
007800390010, 001, 52795.2736987561, 52795.3224603587, 277.55738, -23.17674
007800400010, 001, 52795.3238492484, 52795.3596478805, 277.55738, -23.17674
007800410010, 001, 52795.3610483443, 52795.3968469764, 277.55738, -23.17674
007800420010, 001, 52795.3982705883, 52795.4340692204, 277.55738, -23.17674
007800430010, 001, 52795.4354812583, 52795.4712798904, 277.55738, -23.17674
007800440010, 001, 52795.4726803541, 52795.5084674121, 277.55738, -23.17674
007800450010, 001, 52795.5098678759, 52795.5456780819, 277.55738, -23.17674
007800460010, 001, 52795.5470669716, 52795.5938262582, 277.55738, -23.17674
008900040010, 001, 52826.9784370559, 52826.9859602085, 277.55738, -23.17674
008900050010, 001, 52826.9869903017, 52827.0267704174, 277.55738, -23.17674
008900060010, 001, 52827.028147733, 52827.0678005336, 277.55738, -23.17674
008900140010, 001, 52827.3563886523, 52827.3960414504, 277.55738, -23.17674
008900150010, 001, 52827.3973724696, 52827.4370368416, 277.55738, -23.17674
008900430010, 001, 52828.5846068685, 52828.6242480925, 277.55738, -23.17674
008900440010, 001, 52828.6255906858, 52828.6652319098, 277.55738, -23.17674
008900520010, 001, 52828.9538200211, 52828.9934728192, 277.55738, -23.17674
008900530010, 001, 52828.9948617088, 52829.0345029329, 277.55738, -23.17674
009000020010, 001, 52829.8146190761, 52829.8542718743, 277.55738, -23.17674
009000030010, 001, 52829.8556144676, 52829.8952556917, 277.55738, -23.17674
020700030010, 001, 53179.7426355819, 53179.7494874375, 277.55738, -23.17674
020700040010, 001, 53179.7508300308, 53179.7729596724, 277.55738, -23.17674
020700050010, 001, 53179.774336988, 53179.7951703326, 277.55738, -23.17674
020700130010, 001, 53179.9520801401, 53179.9729134848, 277.55738, -23.17674
020700430010, 001, 53180.6185619835, 53180.6393953282, 277.55738, -23.17674
020700510010, 001, 53180.7963051355, 53180.817126906, 277.55738, -23.17674
020700520010, 001, 53180.8185157957, 53180.8393491403, 277.55738, -23.17674
026601120010, 001, 53358.8737460243, 53358.8806094545, 277.55738, -23.17674
026601130010, 001, 53358.8819520479, 53358.896489094, 277.55738, -23.17674
026700000050, 001, 53359.1976814035, 53359.2208990091, 329.99279, -13.24951
026700000070, 001, 53359.2219291023, 53359.2448573557, 329.99279, -13.24951
026700000090, 001, 53359.2458990229, 53359.2688157022, 329.99279, -13.24951
026700000110, 001, 53359.2698457954, 53359.2927740487, 329.99279, -13.24951
026700000530, 001, 53359.7244872456, 53359.7818599626, 329.99279, -13.24951
026700010010, 001, 53359.7867673727, 53359.794290525, 329.99279, -13.24951
026700020010, 001, 53359.7953321922, 53359.8184803531, 175.28818, 3.4027
026700110010, 001, 53360.0161424969, 53360.0393022315, 175.28818, 3.4027
026700420010, 001, 53360.7967447631, 53360.8199044975, 175.28818, 3.4027
026700500010, 001, 53360.9928328301, 53361.0159925645, 175.28818, 3.4027
026700510010, 001, 53361.0173467319, 53361.0581222165, 175.28818, 3.4027
026800160010, 001, 53362.6272435124, 53362.6355652764, 175.28818, 3.4027
026800170010, 001, 53362.6355652764, 53362.6469194496, 248.5337, -21.30557
026800260010, 001, 53362.8566302142, 53362.879789949, 248.5337, -21.30557
026800570010, 001, 53363.6372440577, 53363.6604037922, 248.5337, -21.30557
026800650010, 001, 53363.8333436992, 53363.8565034338, 248.5337, -21.30557
026800660010, 001, 53363.8578576012, 53363.8822904845, 248.5337, -21.30557
027000010010, 001, 53368.1638323124, 53368.171355465, 248.5337, -21.30557
