SCW, Obs Start Date, Obs End Date, Count Rate, Variance, Angular offset, Annular Count Rate, Annular Variance, PSF Count Rate, PSF Count Rate Error, PSF Count Rate Fixed, PSF Count Rate Error Fixed
066600320010.001,2008-03-28T04:16:34,2008-03-28T04:48:49,174.33698,1.6823902,4.2604897105069774,-157.80069,-0.08543277,200.87586416011354,4.928420929613092,181.551962826005,3.1674744664762833
072800220010.001,2008-09-29T10:22:08,2008-09-29T10:43:09,173.12532,1.90948,4.905639274295366,-157.71886,0.09651673,184.9251081052384,6.60742771144831,151.49181766422612,3.9010068214685694
072800860010.001,2008-10-01T01:20:51,2008-10-01T01:53:02,188.75685,2.276254,3.0238254946393814,-170.9686,-0.64842606,204.8000653110964,5.244585474298737,159.96930746794885,2.9799324286119413
077400150010.001,2009-02-13T20:17:36,2009-02-13T20:49:35,165.78677,1.0351653,2.093137574319001,-150.38153,0.022206545,179.86554020884336,7.396307518970188,207.43728698576027,6.1158170690302445
083900320010.001,2009-08-27T17:00:48,2009-08-27T17:34:01,177.10287,1.6596779,3.3314133415712455,-159.98686,0.045422196,189.49123936250376,6.363401560387624,178.15131437921565,4.251788367814334
090200100010.001,2010-03-03T20:21:16,2010-03-03T20:51:16,169.59845,1.8005413,3.244866191715856,-152.59616,-0.014469981,187.21112905630355,6.066187829080816,169.99254783056935,3.918960002813134
091200450010.001,2010-04-03T23:33:35,2010-04-04T00:33:05,168.0233,1.3838644,5.254383475842584,-150.61449,-0.016866565,176.04574154510834,6.279646293674654,188.8279104666698,4.789415727255439
097000130010.001,2010-09-23T03:25:18,2010-09-23T03:55:18,158.82286,1.925711,2.2330280340926687,-143.03252,0.20515525,175.65395992108176,6.206231310352722,151.4551104400481,3.835728269139811
101900900010.001,2011-02-18T15:15:12,2011-02-18T15:45:48,148.22452,1.826571,5.2701776981025645,-132.90057,0.8550401,162.46498404334787,7.5490912513606885,146.1907913453807,4.825780891531986
102300850010.001,2011-03-02T14:01:46,2011-03-02T14:35:38,150.51962,5.3772573,4.339878448800739,-134.72261,0.1278696,170.09824687057977,12.477297903117933,73.31849986924063,4.620449533642804
108900160010.001,2011-09-14T04:43:13,2011-09-14T05:15:36,171.81554,3.5662172,4.598654485588057,-155.82233,-0.8150356,191.61132178594974,6.36558656230524,105.43621101682248,2.796891354969949
109600720010.001,2011-10-06T14:28:24,2011-10-06T15:02:03,196.7723,5.2184663,7.411976485769275,-175.98395,-1.0863576,207.04395495979153,5.1406917038285895,96.30218128254323,2.011860449431403
116000580010.001,2012-04-14T17:13:07,2012-04-14T17:40:57,173.62772,5.8550973,3.2457662065978985,-159.16458,-2.4934082,198.6392396914371,8.14055528617718,70.36515924380782,2.7341774734324655
121400710010.001,2012-09-23T23:42:15,2012-09-24T00:19:49,183.59216,4.071784,7.599333499228677,-164.6871,-0.55400515,192.4165902494295,5.8073862465461215,106.25717940034369,2.554123930428799
122100510010.001,2012-10-13T22:43:36,2012-10-13T23:12:38,153.79866,1.0926924,0.008250061439335954,-138.54102,0.10126746,159.5028754580428,8.773739509764072,187.98479710565448,7.446023935276908
