SCW, Obs Start Date, Obs End Date, Count Rate, Variance, Angular offset, Annular Count Rate, Annular Variance, PSF Count Rate, PSF Count Rate Error, PSF Count Rate Fixed, PSF Count Rate Error Fixed
002800250010.001,2003-01-06T01:56:54,2003-01-06T02:33:35,1.8038074,0.5138918,7.74580918018116,-1.5471764,0.25429904,2.188822281735466,0.8297743588944358,3.827847750109156,2.9107310091044942
003200220010.001,2003-01-17T19:51:39,2003-01-17T20:28:19,1.1412593,0.97725916,7.747578928147432,-0.7711817,-0.17350936,2.794062410849268,2.31947543553438,3.8149597745300845,2.376399039961863
007700150010.001,2003-06-01T09:50:16,2003-06-01T10:01:07,-0.76838446,1.3782024,4.940848460592151,0.7385597,-0.1062417,-3.057383888139202,1.7291498256305728,-4.43152616659124,2.0731571065110184
007700160010.001,2003-06-01T10:03:03,2003-06-01T10:55:38,-1.7037842,0.16148783,4.656412453700292,1.4304235,0.05762036,-1.565760037420511,0.9440356072565435,-7.291135049517021,5.34064879675792
007700170010.001,2003-06-01T10:57:39,2003-06-01T11:49:12,-0.98082894,0.18790342,4.310520236765477,0.9588614,0.050895974,-1.1013244059226617,1.0066196563419105,-3.0055916391981294,4.6281796499910905
007700180010.001,2003-06-01T11:51:13,2003-06-01T12:42:48,-1.2379122,0.24945247,4.849302945065968,0.3852957,-0.028202504,-0.4915526106277575,0.061314348072171364,-6.485063613859315,3.3694497174248497
007700190010.001,2003-06-01T12:44:49,2003-06-01T13:36:22,-0.55740905,0.27833802,6.039116209921767,0.5857032,-0.0029814541,-1.683455311589631,1.8416353181929193,-2.9859587043066065,3.220845883718788
007700200010.001,2003-06-01T13:38:24,2003-06-01T14:29:58,0.2626523,0.22378369,7.579393072426634,0.0966253,0.08414532,1.7166292073992602,0.8191032269442913,2.0368951484424342,3.5119608845199166
007700210010.001,2003-06-01T14:32:00,2003-06-01T15:23:31,0.7884534,0.3690943,6.648194024013517,-0.8399272,-0.08487743,1.228134165545764,1.4403214036254754,1.7299473752152348,1.9851800003317246
007700220010.001,2003-06-01T15:25:32,2003-06-01T16:17:05,-0.1781765,0.19247523,4.823497012938334,0.3551122,0.026936755,0.005731874451649521,inf,-0.22769375340835596,3.816152899703596
007700230010.001,2003-06-01T16:19:05,2003-06-01T17:10:39,0.00026733128,0.13287976,3.2127090640706957,-0.26167017,0.057345077,-0.0005658917820796,inf,0.00026733128470368683,2.2480284767967724
007700240010.001,2003-06-01T17:12:39,2003-06-01T18:04:14,0.6195223,0.19975685,2.319170026184412,-0.3378182,-0.0058146864,1.0890577692337269,0.9344986693753341,3.5828555993635205,3.9700317419700726
007700250010.001,2003-06-01T18:06:10,2003-06-01T18:57:43,0.055885203,0.18235277,2.906198671476197,0.14407143,0.026690662,0.21015743773031142,0.6903391406579378,1.957718465373342,4.357435922425054
007700260010.001,2003-06-01T18:59:42,2003-06-01T19:51:14,0.24538592,0.1864123,1.78700170008584,-0.113962695,0.028956026,-0.4565256263549708,0.0602257782966418,3.1852504683949525,4.370394610458763
007700270010.001,2003-06-01T19:53:13,2003-06-01T20:44:48,-0.02799029,0.11449893,0.3922911390849091,-0.2931761,0.028735116,2.8863277007106776,0.14035999316197026,-9.116818201697471,9.932705071040616
007700280010.001,2003-06-01T20:46:48,2003-06-01T21:38:20,0.10406184,0.17170125,2.2618831341230723,-0.3152198,0.013379693,-0.06640010101396471,29828267.90740264,1.3541259980429359,4.775104199942492
007700290010.001,2003-06-01T21:40:16,2003-06-01T22:31:50,0.23984148,0.3447713,4.246984457374666,-0.37679502,-0.12976378,1.3178930585433315,0.7634869890233599,2.256348605761934,2.2476831815861438
007700300010.001,2003-06-01T22:33:50,2003-06-01T23:25:23,0.23571432,0.34547746,6.245502945700039,-0.008706704,-0.06486839,1.043890390072874,0.8119331750744996,2.575252356431483,2.2700233104448952
007700310010.001,2003-06-01T23:27:24,2003-06-02T00:18:56,-0.6349845,0.25680128,6.465660554029675,0.6690411,0.081202716,-1.381539854298806,1.5131094314855145,-1.854522324385743,2.8763964879304065
007700320010.001,2003-06-02T00:20:55,2003-06-02T01:12:30,0.37793162,0.22419105,4.565785084078166,-0.27861154,0.025142804,2.414099282356002,1.415423526213857,3.9215224326825675,3.271686226216238
007700330010.001,2003-06-02T01:14:29,2003-06-02T02:06:02,-0.28130618,0.19163474,2.8052502258752514,0.056267694,0.04293479,-4.737251234084243,0.3074460522241329,-4.095495187557248,4.257844123884456
007700340010.001,2003-06-02T02:08:01,2003-06-02T02:59:34,-0.4800134,0.17995642,1.704904902377871,0.3678125,-0.010275707,-0.7271230676973591,0.911387142489961,-1.7846191570465118,4.663691952978654
007700350010.001,2003-06-02T03:01:29,2003-06-02T03:53:04,-0.051907532,0.14487153,2.435207919693901,-0.5126075,0.05080977,-0.8432593052357731,0.29299976865147265,-3.502741380654641,6.013068495891062
007700360010.001,2003-06-02T03:55:02,2003-06-02T04:48:26,0.20189857,0.1872041,4.084171784230441,0.16539633,-0.0020209998,0.8285201784830548,0.31270438199505207,2.972230943451367,4.055977576018919
007700370010.001,2003-06-02T05:14:54,2003-06-02T06:06:25,-0.29939044,0.18826032,3.694676317791532,0.2831698,0.026958987,0.4435154226164058,0.716085643371044,-0.3495799757999369,2.1753382777158894
007700380010.001,2003-06-02T06:08:23,2003-06-02T06:59:57,-0.9680501,0.29378712,4.316417137459167,1.1479412,-0.053727746,-1.7417179903577424,1.9548322427346667,-2.1201665610508442,2.5217469050675203
