SCW, Obs Start Date, Obs End Date, Count Rate, Variance, Angular offset, Annular Count Rate, Annular Variance, PSF Count Rate, PSF Count Rate Error, PSF Count Rate Fixed, PSF Count Rate Error Fixed
066600320010.001,2008-03-28T04:16:34,2008-03-28T04:48:49,174.33698,1.6823902,4.2604897105069774,-157.80069,-0.08543277,200.87586416011354,4.928420929613092,181.551962826005,3.1674744664762833
072800220010.001,2008-09-29T10:22:08,2008-09-29T10:43:09,173.12532,1.90948,4.905639274295366,-157.71886,0.09651673,184.9251081052384,6.60742771144831,151.49181766422612,3.9010068214685694
072800860010.001,2008-10-01T01:20:51,2008-10-01T01:53:02,188.75685,2.276254,3.0238254946393814,-170.9686,-0.64842606,204.8000653110964,5.244585474298737,159.96930746794885,2.9799324286119413
077400150010.001,2009-02-13T20:17:36,2009-02-13T20:49:35,165.78677,1.0351653,2.093137574319001,-150.38153,0.022206545,179.86554020884336,7.396307518970188,207.43728698576027,6.1158170690302445
102300850010.001,2011-03-02T14:01:46,2011-03-02T14:35:38,150.51962,5.3772573,4.339878448800739,-134.72261,0.1278696,170.09824687057977,12.477297903117933,73.31849986924063,4.620449533642804
108900160010.001,2011-09-14T04:43:13,2011-09-14T05:15:36,171.81554,3.5662172,4.598654485588057,-155.82233,-0.8150356,191.61132178594974,6.36558656230524,105.43621101682248,2.796891354969949
109600720010.001,2011-10-06T14:28:24,2011-10-06T15:02:03,196.7723,5.2184663,7.411976485769275,-175.98395,-1.0863576,207.04395495979153,5.1406917038285895,96.30218128254323,2.011860449431403
116000580010.001,2012-04-14T17:13:07,2012-04-14T17:40:57,173.62772,5.8550973,3.2457662065978985,-159.16458,-2.4934082,198.6392396914371,8.14055528617718,70.36515924380782,2.7341774734324655
121400710010.001,2012-09-23T23:42:15,2012-09-24T00:19:49,183.59216,4.071784,7.599333499228677,-164.6871,-0.55400515,192.4165902494295,5.8073862465461215,106.25717940034369,2.554123930428799
122100510010.001,2012-10-13T22:43:36,2012-10-13T23:12:38,153.79866,1.0926924,0.008250061439335954,-138.54102,0.10126746,159.5028754580428,8.773739509764072,187.98479710565448,7.446023935276908
126800730010.001,2013-03-04T02:22:39,2013-03-04T02:55:16,176.04253,2.1307526,3.228816783805628,-159.59378,0.052965403,181.31676550041976,7.5811999030706705,148.598573093707,4.477331385602093
127800130010.001,2013-04-01T09:24:27,2013-04-01T09:57:41,172.57048,1.9787529,4.936835464998931,-154.22568,-0.0069338083,180.06555524574378,7.055710513016521,162.6769861658389,4.536940705007687
132700490010.001,2013-08-26T19:33:22,2013-08-26T20:04:47,183.72314,3.5760994,4.726071326745439,-166.77975,-0.5919149,202.7700734616012,7.375365896787304,114.83836001845526,3.3003809253242453
134200070010.001,2013-10-09T16:17:28,2013-10-09T16:50:19,186.71698,2.5070343,2.0544517389652803,-168.95293,0.08775401,195.04716923079084,9.00354245551185,148.4344689888099,5.003806888786126
138700630010.001,2014-02-22T19:26:00,2014-02-22T19:49:20,184.68318,5.68461,3.026548290287932,-168.00641,0.12716055,200.23667214492605,10.350419005982388,78.77126727221793,3.672949557866617
144700680010.001,2014-08-21T22:58:07,2014-08-21T23:24:44,165.56427,4.535172,3.600092943746813,-148.73994,-0.32196712,201.2838422342284,9.511094544726738,94.61314673146441,3.7619773704911186
145600300010.001,2014-09-16T16:17:31,2014-09-16T16:47:26,196.76685,5.507296,3.0336953809046423,-176.40842,-0.60150194,207.56127458607395,9.781679693938626,90.65650643211058,3.6649743273750706
146800160010.001,2014-10-21T18:26:53,2014-10-21T18:56:33,174.52466,4.0890384,3.01192311458915,-158.64221,-0.020328522,185.21158519413694,9.914312057287798,93.41089849378227,4.109247235930569
152400120010.001,2015-03-30T06:53:32,2015-03-30T07:20:36,176.79926,7.0730634,4.865513120867215,-159.49667,0.026224136,178.3310482077637,9.077754218012773,65.61606948235749,3.0849812324194454
152800070010.001,2015-04-09T22:47:58,2015-04-09T23:17:45,190.76659,4.080476,4.855832416269738,-173.60402,0.28146505,195.33225678291205,8.037291855158141,102.87653389541559,3.4321268414314354
157700120010.001,2015-08-18T05:03:27,2015-08-18T05:33:12,197.80598,8.922033,2.986569073960886,-178.9521,-0.9917078,211.11429529723588,12.478866727176152,57.91050502910017,3.5545342778269933
164400170010.001,2016-02-12T12:05:52,2016-02-12T12:35:37,154.91443,3.3344579,2.1820002958606435,-140.70773,0.46850657,167.14551111501032,12.647924332542837,102.14567373844403,5.985692625090884
165800100010.001,2016-03-20T14:51:14,2016-03-20T15:21:13,266.83264,7.3488483,5.366723290703246,-242.74007,0.34744024,295.8382841093233,12.659561991787768,92.47715133832668,3.958388640667464
178400300010.001,2017-02-19T13:59:29,2017-02-19T15:22:44,241.94545,5.8219757,6.088924571227916,-214.81671,-0.2068901,252.38604620580634,11.750681820480938,110.00446299469948,4.34764928015361
