SCW, Start Time, End Time
023900070010.001, 53275.6249135362, 53275.6480732727
023900080010.001, 53275.6491033659, 53275.6722515282
023900090010.001, 53275.6732931955, 53275.6964529317
023900100010.001, 53275.697494599, 53275.7206311869
023900110010.001, 53275.7216728542, 53275.7448210161
023900120010.001, 53275.7458511093, 53275.7690108452
023900130010.001, 53275.7700409384, 53275.7932122483
023900140010.001, 53275.7942423415, 53275.8173905032
023900150010.001, 53275.8184321705, 53275.8415803321
023900160010.001, 53275.8426104252, 53275.8657585868
023900170010.001, 53275.866800254, 53275.8899715637
023900180010.001, 53275.8910016568, 53275.9141498183
023900190010.001, 53275.9151799114, 53275.9383280728
023900200010.001, 53275.9393697401, 53275.9625294755
023900210010.001, 53275.9635595687, 53275.9867193041
023900220010.001, 53275.9877609714, 53276.0109091327
023900230010.001, 53276.0119507999, 53276.0351105353
023900240010.001, 53276.0361406285, 53276.0592887897
023900250010.001, 53276.060330457, 53276.0834786182
023900260010.001, 53276.0845202855, 53276.1076684467
023900270010.001, 53276.1087101139, 53276.1318582751
023900320010.001, 53276.3111292082, 53276.3344857025
023900330010.001, 53276.3355157956, 53276.3586755305
023900340010.001, 53276.3597056236, 53276.3828653584
023900350010.001, 53276.3838954516, 53276.4070551864
023900360010.001, 53276.4080968536, 53276.4312450143
023900370010.001, 53276.4322866815, 53276.4554348421
023900380010.001, 53276.4564765094, 53276.47962467
023900390010.001, 53276.4806663372, 53276.5038144979
023900400010.001, 53276.5048561651, 53276.5280043258
023900410010.001, 53276.529045993, 53276.5521941536
023900420010.001, 53276.5532358208, 53276.5763839815
023900430010.001, 53276.5774256487, 53276.6005738093
023900440010.001, 53276.6016154766, 53276.6247636372
023900450010.001, 53276.6257937303, 53276.6489534651
023900460010.001, 53276.6499835582, 53276.673143293
023900470010.001, 53276.6741733861, 53276.6973331209
023900480010.001, 53276.698363214, 53276.7215229488
023900490010.001, 53276.7225530419, 53276.7457127767
023900500010.001, 53276.7467428698, 53276.7711873275
023900510010.001, 53276.7892197447, 53276.8123679055
023900520010.001, 53276.8134095727, 53276.8365693075
023900530010.001, 53276.8375994007, 53276.8607475614
023900540010.001, 53276.8617892287, 53276.8849373895
023900550010.001, 53276.8859790567, 53276.9091387916
023900560010.001, 53276.9101804588, 53276.9333170455
023900570010.001, 53276.9343587128, 53276.9575068736
023900580010.001, 53276.9585369667, 53276.9816967016
023900590010.001, 53276.9827383689, 53277.0058981038
023900600010.001, 53277.006928197, 53277.0300763578
023900610010.001, 53277.031106451, 53277.0683055455
023900620010.001, 53277.0693472128, 53277.0924953737
023900630010.001, 53277.0935254668, 53277.1166852019
023900640010.001, 53277.1177268691, 53277.1408750301
023900650010.001, 53277.1419051232, 53277.1749954193
023900660010.001, 53277.1760370866, 53277.1992083957
023900670010.001, 53277.2002384889, 53277.2233866499
023900680010.001, 53277.2244283172, 53277.2475764782
023900690010.001, 53277.2486181455, 53277.2717663065
023900700010.001, 53277.2728079738, 53277.2959561349
023900710010.001, 53277.2969978021, 53277.3201575373
023900720010.001, 53277.3211992046, 53277.3443357917
023900730010.001, 53277.3453658848, 53277.3685256201
023900740010.001, 53277.3695557132, 53277.3927154485
023900750010.001, 53277.3937571158, 53277.416905277
023900760010.001, 53277.4179353702, 53277.4410951055
023900770010.001, 53277.4421251987, 53277.465284934
023900780010.001, 53277.4670673424, 53277.4879122617
023900790010.001, 53277.4893590218, 53277.510203941
023900800010.001, 53277.5116622752, 53277.5325071945
023900810010.001, 53277.5339655286, 53277.5547872997
023900820010.001, 53277.5562456339, 53277.5770905532
023900830010.001, 53277.5785604615, 53277.6002387146
023900850010.001, 53277.6230165053, 53277.6439655913
023900860010.001, 53277.6454239255, 53277.6662688448
023900870010.001, 53277.6676114382, 53277.6884447834
023900880010.001, 53277.6899031175, 53277.7107364627
023900890010.001, 53277.7121947969, 53277.7330281421
023900900010.001, 53277.7343707354, 53277.7552040806
023900910010.001, 53277.7565466739, 53277.7773800191
023900920010.001, 53277.7787110383, 53277.7995559576
023900930010.001, 53277.8010027176, 53277.8218360628
023900940010.001, 53277.8231786562, 53277.8440235754
023900950010.001, 53277.8454703355, 53277.8663152548
023900960010.001, 53277.8677735889, 53277.8985490694
023900970010.001, 53277.9000074036, 53277.9208407488
023900980010.001, 53277.922299083, 53277.9431324282
